Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
Nights in Rodanthe,2008,PG-13,26 Sep 2008,97 min,"Drama, Romance",George C. Wolfe,"Ann Peacock, John Romano, Nicholas Sparks","Diane Lane, Richard Gere, Christopher Meloni","A doctor, who is travelling to see his estranged son, sparks with an unhappily married woman at a North Carolina inn.","English, Spanish","United States, Australia",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI2MDA0MTI0Ml5BMl5BanBnXkFtZTcwMDkzNDMwMg@@._V1_SX300.jpg,39,6.0,"26,943",tt0956038,movie,N/A,"$41,850,659",N/A,N/A,True,6.0/10,30%,39/100,,,,
Fireproof,2008,PG,26 Sep 2008,122 min,"Drama, Romance",Alex Kendrick,"Alex Kendrick, Stephen Kendrick","Kirk Cameron, Erin Bethea, Ken Bevel","In an attempt to save his marriage, a firefighter uses a 40-day experiment known as ""The Love Dare.""",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMTc0NmZkOTktZTBjMC00MmQwLTkzOGQtYjVmNzU4YTY3M2MwXkEyXkFqcGc@._V1_SX300.jpg,28,6.5,"25,116",tt1129423,movie,N/A,"$33,456,317",N/A,N/A,True,6.5/10,38%,28/100,,,,
All Roads Lead Home,2008,PG,27 Jan 2008,108 min,"Drama, Family",Dennis Fallon,Douglas Delaney,"Peter Coyote, Jason London, Vivien Cardone","When Belle, struggling with the loss of her mom, is sent to live with her grandfather, she soon becomes the savior of all living things! An old race horse and Atticus the dog change Belle's life, and in turn the life of those who ...","English, Italian",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjAzMjU3OTM0M15BMl5BanBnXkFtZTcwOTU4OTY4MQ@@._V1_SX300.jpg,N/A,5.8,936,tt0821810,movie,N/A,"$43,907",N/A,N/A,True,5.8/10,17%,,,,,
The Lucky Ones,2008,R,26 Sep 2008,115 min,"Adventure, Comedy, Drama",Neil Burger,"Neil Burger, Dirk Wittenborn","Rachel McAdams, Tim Robbins, Michael Peña",Three different soldiers - a woman and two men - return from war and facing the peaceful life's problems of each other.,English,"United States, Bahrain",N/A,https://m.media-amazon.com/images/M/MV5BMTI4NzAyNTA1MV5BMl5BanBnXkFtZTcwMzQzNDc4MQ@@._V1_SX300.jpg,53,6.9,"14,687",tt0981072,movie,N/A,"$266,967",N/A,N/A,True,6.9/10,38%,53/100,,,,
The Lucky Ones,2003,N/A,N/A,78 min,"Crime, Drama, Fantasy",Loren-Paul Caplin,Loren-Paul Caplin,"Ivan Martin, Dallas Roberts, Reena Shah","A stunning turn of events in a sordid story leads TV tabloid newshound Lorenzo (Ivan Martin) down a path toward a mystical realm in director Loren-Paul Caplin's intriguing tale. While looking into a strange spiritual ritual, Loren...",English,United States,N/A,N/A,N/A,6.7,25,tt0351265,movie,N/A,N/A,N/A,N/A,True,6.7/10,,,,,,
Ghost Town,1936,Passed,15 Feb 1936,56 min,Western,Harry L. Fraser,Harry L. Fraser,"Harry Carey, David Sharpe, Ruth Findlay","An old miner is ambushed by outlaws trying to steal the $10,000 he is carrying to start up a new mine. A passing cowboy comes to the miner's aid, but winds up getting blamed for the attack.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODRkMDJhNGEtN2ZmNC00ZjM2LThmM2EtNjE1OGMzNGQ5YmUyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,N/A,6.0,86,tt0028927,movie,N/A,N/A,N/A,N/A,True,6.0/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Appaloosa,2008,R,03 Oct 2008,115 min,"Crime, Drama, Romance",Ed Harris,"Robert Knott, Ed Harris, Robert B. Parker","Ed Harris, Viggo Mortensen, Renée Zellweger",Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,"English, Apache languages, Spanish",United States,5 wins total,https://m.media-amazon.com/images/M/MV5BMTMxMDE5NDIxM15BMl5BanBnXkFtZTcwNjI0MjQ4MQ@@._V1_SX300.jpg,64,6.7,"66,586",tt0800308,movie,N/A,"$20,211,394",N/A,N/A,True,6.7/10,77%,64/100,,,,
Ghost Town,1988,R,11 Nov 1988,85 min,"Action, Horror, Western","Richard McCarthy, Mac Ahlberg","Duke Sandefur, David Schmoeller","Franc Luz, Catherine Hickland, Jimmie F. Skaggs","A modern-day deputy tracks an abducted girl to a ghost town, and the spirits of the past who took her.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNjZkMzkxODgtMzM2OS00Njk5LWI3OTctMjJkMmYzMGM4MmE5XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.3,"1,892",tt0095215,movie,N/A,"$75,000",N/A,N/A,True,5.3/10,,,,,,
Ghost Town,2025,N/A,19 Apr 2025,N/A,"Short, Drama, Western",Ryan Frazee,Ryan Frazee,"Thom Chacon, Melissa Dunn",A blue-collar alcoholic's life is changed when his estranged daughter tries to save him.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDUxYzU4ZmItOTMzYi00NjkxLWEwYjItYzJmYTk1ODQ0NmU1XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt27427038,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Lakeview Terrace,2008,PG-13,19 Sep 2008,110 min,"Crime, Drama, Thriller",Neil LaBute,"David Loughery, Howard Korder","Samuel L. Jackson, Patrick Wilson, Kerry Washington",A troubled and racist African-American L.A.P.D. Officer will stop at nothing to force out a friendly interracial couple who just moved in next door to him.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI0MzI0NDI4Ml5BMl5BanBnXkFtZTcwOTk4ODk3MQ@@._V1_SX300.jpg,47,6.2,"57,759",tt0947802,movie,N/A,"$39,263,506",N/A,N/A,True,6.2/10,44%,47/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Duchess,2008,PG-13,10 Oct 2008,110 min,"Biography, Drama, History",Saul Dibb,"Jeffrey Hatcher, Anders Thomas Jensen, Saul Dibb","Keira Knightley, Ralph Fiennes, Dominic Cooper","A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was revered for her extravagant political and personal life.",English,"United Kingdom, Italy, France, United States",Won 1 Oscar. 8 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTU1MTQzMjgzNl5BMl5BanBnXkFtZTcwNTQxMzk3MQ@@._V1_SX300.jpg,62,6.9,"89,725",tt0864761,movie,N/A,"$13,848,978",N/A,N/A,True,6.9/10,62%,62/100,,,,
Ghost Town,2023,N/A,07 Mar 2023,93 min,"Horror, Mystery, Thriller",Owen Conway,Owen Conway,"Owen Conway, Robert Sprayberry, Eva Hamilton","In the untamed West of Victorian-era America, a drifter takes a job as a barman in a small Arizona town. After a series of bizarre deaths, he soon finds himself the target of suspicion.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjE0NTBmNWMtNmJmNi00ZWUwLWE2NWUtYzExMDBjM2VlNzE2XkEyXkFqcGc@._V1_SX300.jpg,N/A,4.0,196,tt14082186,movie,N/A,N/A,N/A,N/A,True,4.0/10,,,,,,
Ghost Town,1956,Approved,01 Mar 1956,77 min,Western,Allen H. Miner,Jameson Brewer,"Kent Taylor, John Smith, Marian Carr","Under attack by Indians, passengers on a stagecoach reveal their true nature as the pressure mounts.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjBkYTAwMDYtM2IwNi00MDllLTg2MDQtNmZiZTYzODBmNjNiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,N/A,5.8,216,tt0048115,movie,N/A,N/A,N/A,N/A,True,5.8/10,100%,,,,,
Ghost Town,2008,PG-13,19 Sep 2008,102 min,"Comedy, Drama, Fantasy",David Koepp,"David Koepp, John Kamps","Ricky Gervais, Greg Kinnear, Téa Leoni","Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",English,United States,3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTQyODQ4MzYxN15BMl5BanBnXkFtZTcwOTQ1MDczMw@@._V1_SX300.jpg,72,6.7,"79,725",tt0995039,movie,N/A,"$13,367,624",N/A,N/A,True,6.7/10,85%,72/100,,,,
My Best Friend's Girl,2008,R,19 Sep 2008,101 min,"Comedy, Romance",Howard Deutch,Jordan Cahan,"Kate Hudson, Dane Cook, Jason Biggs",Tank faces the ultimate test of friendship when his best friend hires him to take his ex-girlfriend out on a lousy date in order to make her realize how great her former boyfriend is.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTg4MDg5NjE3Nl5BMl5BanBnXkFtZTcwNzc4ODQ3MQ@@._V1_SX300.jpg,34,5.8,"47,352",tt1046163,movie,N/A,"$19,219,250",N/A,N/A,True,5.8/10,14%,34/100,,,,
Igor,2008,PG,19 Sep 2008,87 min,"Animation, Comedy, Family",Tony Leondis,"Chris McKenna, Tony Leondis, John Hoffman","John Cusack, Molly Shannon, Steve Buscemi","An evil scientist's assistant aspires to become a scientist himself, much to the displeasure of the rest of the evil science community.",English,"France, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BNDYwNjM1ODkxOV5BMl5BanBnXkFtZTcwMTQyMzI5MQ@@._V1_SX300.jpg,40,5.9,"24,820",tt0465502,movie,N/A,"$19,528,602",N/A,N/A,True,5.9/10,40%,40/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Ghost Town,2009,N/A,24 Oct 2009,85 min,"Action, Fantasy, Horror",Todor Chapkanov,Andy Briggs,"Jessica Rose, Randy Wayne, Gil Gerard",A bus full of college students stumble across an abandoned western town and realize it is haunted by the ghosts of outlaws who brutally killed the residents and now kill visitors every 13 years on Friday the 13th to become stronger.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzA2Y2MxYjItZjU5OC00YWU0LWJkYWItYThkZDhmODdmNjc2XkEyXkFqcGc@._V1_SX300.jpg,N/A,3.4,815,tt1421035,movie,N/A,N/A,N/A,N/A,True,3.4/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Women,2008,PG-13,12 Sep 2008,114 min,"Comedy, Drama",Diane English,"Diane English, Clare Boothe Luce, Anita Loos","Meg Ryan, Eva Mendes, Annette Bening","A wealthy New Yorker wrestles with the decision to leave her cheating husband, as she and her friends discover that women really can have it all.",English,United States,4 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjIwNjg2MTk1MV5BMl5BanBnXkFtZTcwODQxMzk3MQ@@._V1_SX300.jpg,27,5.0,"23,599",tt0430770,movie,N/A,"$26,902,075",N/A,N/A,True,5.0/10,13%,27/100,,,,
Towelhead,1997,N/A,N/A,5 min,Short,Rowan Woods,"Chris Swift, Rowan Woods","Rowan Woods, John Bocska, Stephen Thompson",N/A,English,Australia,N/A,N/A,N/A,N/A,N/A,tt2131675,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Towelhead,2007,R,26 Sep 2008,124 min,Drama,Alan Ball,"Alan Ball, Alicia Erian","Summer Bishil, Aaron Eckhart, Peter Macdissi","A young Lebanese-American girl struggles with her sexual obsession, a bigoted Army reservist and her strict father during the Gulf War.","English, French, Arabic, Spanish",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTI3MTY3OTM5MF5BMl5BanBnXkFtZTcwOTQ4MTA3MQ@@._V1_SX300.jpg,57,6.9,"12,215",tt0787523,movie,N/A,"$372,124",N/A,N/A,True,6.9/10,49%,57/100,,,,
The Women,2017,N/A,29 Sep 2017,83 min,Drama,Blessing Effiom Egbe,Blessing Effiom Egbe,"Tomi Adeoye, Lilian Afegbai, Roxy Antak","At a getaway event, a group of malicious women must each confront their own secrets.",English,Nigeria,N/A,https://m.media-amazon.com/images/M/MV5BMTgyNWQ5NDYtZTBhZS00NWUzLWFhYTMtNzhiZjdhMzNlMmZkXkEyXkFqcGdeQXVyMDM1MzIyMQ@@._V1_SX300.jpg,N/A,N/A,N/A,tt14606166,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Stage on Screen: The Women,2002,N/A,18 Jun 2002,180 min,Drama,"Jay Sandrich, Judy Kinberg","Adam Green, Clare Boothe Luce","Jason Alexander, Jen Davis, Kelly Mares",Roundabout Theatre's 2001 stage production of Claire Boothe Luce's all-female play `The Women;' aired on PBS.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDgyYTE3ZDMtYjc1Yi00YjQ1LWI2MmYtNmUzMzdlNWY2NmNlXkEyXkFqcGdeQXVyMDg4OTExNg@@._V1_SX300.jpg,N/A,6.8,134,tt0329638,movie,N/A,N/A,N/A,N/A,True,6.8/10,,,,,,
The Women,1939,Approved,01 Sep 1939,133 min,"Comedy, Drama",George Cukor,"Clare Boothe Luce, Anita Loos, Jane Murfin","Norma Shearer, Joan Crawford, Rosalind Russell",A study of the lives and romantic entanglements of various interconnected women.,"English, French",United States,6 wins total,https://m.media-amazon.com/images/M/MV5BN2U5NDc3MzYtNDM4Ni00NDA5LWI5OGEtN2ExMDA0YjhmMGQ2XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.7,"15,814",tt0032143,movie,N/A,N/A,N/A,N/A,True,7.7/10,94%,,,,,
The Family That Preys,2014,N/A,30 Oct 2014,7 min,"Short, Horror",Joseph Lavender,"Joseph Lavender, Allie O'Neill","Justin James Boykin, Samantha Bundy, Hal Clay",A group of college kids get more than they bargain for when they go out for a fun night at a local haunted attraction ran by a family of cannibals.,English,United States,N/A,N/A,N/A,5.8,9,tt4185032,movie,N/A,N/A,N/A,N/A,True,5.8/10,,,,,,
Bangkok Dangerous,2008,R,05 Sep 2008,99 min,"Action, Crime, Thriller","Danny Pang, Oxide Chun Pang","Jason Richman, Oxide Chun Pang, Danny Pang","Nicolas Cage, Charlie Yeung, Shahkrit Yamnarm",A hitman who's in Bangkok to pull off a series of jobs violates his personal code when he falls for a local woman and bonds with his errand boy.,"English, Thai","United States, Czech Republic, Thailand",1 nomination total,https://m.media-amazon.com/images/M/MV5BMDVjMWEzNjQtOWM3My00NzQzLTk0YmItMjBmY2I0YzRmMjhlXkEyXkFqcGc@._V1_SX300.jpg,24,5.3,"59,080",tt0814022,movie,N/A,"$15,298,133",N/A,N/A,True,5.3/10,9%,24/100,,,,
Babylon A.D.,2008,PG-13,29 Aug 2008,90 min,"Action, Adventure, Sci-Fi",Mathieu Kassovitz,"Maurice G. Dantec, Mathieu Kassovitz, Éric Besnard","Vin Diesel, Michelle Yeoh, Mélanie Thierry",Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.,"English, Russian","United Kingdom, France, United States, Czech Republic",1 nomination total,https://m.media-amazon.com/images/M/MV5BMDcxODQ3ZWEtNWYxYS00OGI5LWIyM2QtNmJhMGM2MmJkNWNjXkEyXkFqcGc@._V1_SX300.jpg,26,5.5,"100,038",tt0364970,movie,N/A,"$22,532,572",N/A,N/A,True,5.5/10,7%,26/100,,,,
College,2008,R,29 Aug 2008,94 min,Comedy,Deb Hagan,"Dan Callahan, Adam Ellison","Drake Bell, Kevin Covais, Andrew Lewis Caldwell",A wild weekend is in store for three high school seniors who visit a local college campus as prospective freshmen.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTc4Mjc1NzIxOF5BMl5BanBnXkFtZTcwMjEzMjc3MQ@@._V1_SX300.jpg,15,4.6,"12,790",tt0844671,movie,N/A,"$4,694,636",N/A,N/A,True,4.6/10,5%,15/100,,,,
College,1927,Not Rated,01 Nov 1927,66 min,"Comedy, Drama, Sport","James W. Horne, Buster Keaton","Carl Harbaugh, Bryan Foy","Buster Keaton, Anne Cornwall, Flora Bramley","Ronald's high-school valedictory address praises books and condemns sports. His girlfriend Mary condemns his attitude. Fearing to lose her to rival Jeff, he decides to go to college and pay more attentions to sports.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzU1NmExNWItZDc1OS00NTc4LTg1NzctNGQ3NDYwYzBmMjIwXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.9,"5,578",tt0017765,movie,N/A,N/A,N/A,N/A,True,6.9/10,92%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Antarctica,2020,N/A,15 Oct 2020,45 min,Documentary,Fredi Devas,N/A,Benedict Cumberbatch,"Antarctica is the most extreme continent on our planet; higher, colder, and even drier than any other on Earth, and although it is thousands of miles away, what happens here affects every single one of us.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMmZiNmMzYTctMDAzNy00NWEzLTlhMWMtZGY1NDE5Y2QyYzFiXkEyXkFqcGdeQXVyNzI0NDM2MTI@._V1_SX300.jpg,N/A,7.9,38,tt15397862,movie,N/A,N/A,N/A,N/A,True,7.9/10,100%,,,,,
Antarctica,2020,TV-MA,15 Oct 2020,90 min,"Comedy, Romance",Keith Bearden,Keith Bearden,"Chloë Levine, Kimie Muroya, Bubba Weiler",Two life-long best friends face a tidal wave of adult pressures and problems as they face down their last year of high school in small-town USA.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzAyMjVhYmYtYzZjZS00YmM2LWI5M2MtOWEwOTdiZmI2MDk0XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.1,251,tt6235644,movie,N/A,N/A,N/A,N/A,True,5.1/10,100%,,,,,
Disaster Movie,2008,PG-13,29 Aug 2008,87 min,"Comedy, Sci-Fi","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Carmen Electra, Vanessa Lachey, Nicole Parker","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",English,United States,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTIzMDQyNDgwNl5BMl5BanBnXkFtZTcwMDA0MTc3MQ@@._V1_SX300.jpg,15,1.9,"96,719",tt1213644,movie,N/A,"$14,190,901",N/A,N/A,True,1.9/10,1%,15/100,,,,
College,1931,N/A,27 Jan 1931,10 min,"Animation, Short","Walter Lantz, William Nolan","Ray Abrams, Tex Avery, Pinto Colvig","Pinto Colvig, Tex Avery",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjI5YWJiNWUtZjk4Yy00YTJmLTliOTMtZmFhMzY4YjY3MzVlXkEyXkFqcGdeQXVyNzQ1NjM2MDg@._V1_SX300.jpg,N/A,3.9,16,tt0142189,movie,N/A,N/A,N/A,N/A,True,3.9/10,,,,,,
Trouble the Water,2008,Unrated,05 Dec 2008,93 min,Documentary,"Carl Deal, Tia Lessin",N/A,"Michael Brown, George W. Bush, Julie Chen Moonves",A redemptive tale of an aspiring rap artist surviving failed levees and her own troubled past and seizing a chance for a new beginning.,English,United States,Nominated for 1 Oscar. 7 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTI0MTQzNzEyNV5BMl5BanBnXkFtZTcwNjQzODE1Mg@@._V1_SX300.jpg,83,7.3,"2,065",tt1149405,movie,N/A,"$520,151",N/A,N/A,True,7.3/10,96%,83/100,,,,
Cthulhu,2000,Not Rated,23 Jul 2000,75 min,"Horror, Thriller",Damian Heffernan,"Damian Heffernan, H.P. Lovecraft","Paul Douglas, Melissa Georgiou, Malcolm Miller",Dan Upton is concerned about the influence of a young woman upon his friend Edward Derby. While a series of dismemberment killings in Arkham seems to be linked to a Cthulhu cult in nearby Innsmouth and Dunwich.,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BMTM4ODI4NTA5NF5BMl5BanBnXkFtZTcwNTc2OTczMw@@._V1_SX300.jpg,N/A,3.8,143,tt0826776,movie,N/A,N/A,N/A,N/A,True,3.8/10,,,,,,
I.O.U.S.A.,2008,PG,14 Nov 2008,85 min,Documentary,Patrick Creadon,"Patrick Creadon, Christine O'Malley, Addison Wiggin","Robert Bixby, Humphrey Bogart, Warren Buffett",Few are aware that America may be on the brink of a financial meltdown. I.O.U.S.A. explores the country's shocking current fiscal condition and ways to avoid a national economic disaster.,"English, Mandarin",United States,6 nominations,https://m.media-amazon.com/images/M/MV5BMTI1MzQ0MDAxMV5BMl5BanBnXkFtZTcwODg3NDA4MQ@@._V1_SX300.jpg,70,7.4,"1,949",tt0963807,movie,N/A,"$821,046",N/A,N/A,True,7.4/10,87%,70/100,,,,
Death Race,2008,R,22 Aug 2008,105 min,"Action, Sci-Fi, Thriller",Paul W.S. Anderson,"Paul W.S. Anderson, Robert Thom, Charles B. Griffith","Jason Statham, Joan Allen, Tyrese Gibson",Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,English,"United Kingdom, Germany, United States",1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZjdlNmJjM2ItYjkwOS00NDMxLWFjM2QtNzcyZjJkYzEzYzQ5XkEyXkFqcGc@._V1_SX300.jpg,43,6.4,"224,973",tt0452608,movie,N/A,"$36,316,032",N/A,N/A,True,6.4/10,41%,43/100,,,,
The House Bunny,2008,PG-13,22 Aug 2008,97 min,Comedy,Fred Wolf,"Karen McCullah, Kirsten Smith","Anna Faris, Colin Hanks, Emma Stone","After Playboy bunny Shelley is kicked out of the Playboy Mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BODkxMDg0MjM2OF5BMl5BanBnXkFtZTcwMjc0NTU4MQ@@._V1_SX300.jpg,55,5.6,"94,110",tt0852713,movie,N/A,"$48,237,389",N/A,N/A,True,5.6/10,43%,55/100,,,,
The Longshots,2008,PG,22 Aug 2008,94 min,"Biography, Comedy, Drama",Fred Durst,Nick Santora,"Ice Cube, Keke Palmer, Tasha Smith","The true story of Jasmine Plummer who, at the age of eleven, became the first female to play in Pop Warner football tournament in its 56-year history.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjA5NDMwODQ3MF5BMl5BanBnXkFtZTcwNTA1NDc4MQ@@._V1_SX300.jpg,52,5.6,"4,655",tt1091751,movie,N/A,"$11,537,046",N/A,N/A,True,5.6/10,41%,52/100,,,,
Death Race,2022,N/A,17 Mar 2022,6 min,"Short, Drama","Charles Lum, Todd Verow",Charles Lum,Charles Lum,"On February 17, 2020, Charles Lum woke up seeing double. A week later his doctor called with news that a ""mass"" in his brain was HIV related lymphoma. DEATH RACE is a video diary which documents Charles Lum's health struggle.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWMzNmNiMjgtOWUyYy00MjI1LWFlYzEtZjJiZTFiNGMxM2Y1XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt18262776,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Death Race,1973,Not Rated,10 Nov 1973,90 min,"Action, Drama, War",David Lowell Rich,Charles Kuenstle,"Lloyd Bridges, Roy Thinnes, Eric Braeden","In the North African desert in World War II, a damaged American fighter plane that is unable to take off tries to evade and destroy a pursuing Nazi tank.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmY5NzBkOGQtODhlZC00ZTJjLTk0ZDktZTY2YWI0ZWQ5ZjgxXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,N/A,6.2,361,tt0069953,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
Cthulhu,2007,R,11 Dec 2019,100 min,"Drama, Horror, Thriller",Dan Gildark,"Grant Cogswell, Dan Gildark, H.P. Lovecraft","Jason Cottle, Casey Curran, Ethan Atkinson","A Seattle history professor, drawn back to his estranged family on the Oregon coast to execute his late mother's estate, is reaquainted with his best friend from childhood, with whom he has a long-awaited tryst. Caught in an accel...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ4NTMzMDkyMV5BMl5BanBnXkFtZTcwODExNzI5MQ@@._V1_SX300.jpg,41,4.6,"2,263",tt0478126,movie,N/A,"$15,213",N/A,N/A,True,4.6/10,62%,41/100,,,,
The Rocker,2008,PG-13,20 Aug 2008,102 min,"Comedy, Music",Peter Cattaneo,"Maya Forbes, Wallace Wolodarsky, Ryan Jaffe","Rainn Wilson, Josh Gad, Christina Applegate","In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school ro...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTYyMTgzMTQ0MF5BMl5BanBnXkFtZTcwNTE3OTU3MQ@@._V1_SX300.jpg,53,6.2,"40,820",tt1031969,movie,N/A,"$6,409,528",N/A,N/A,True,6.2/10,40%,53/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Error getting data.,,,
Star Wars: The Clone Wars,2008,PG,15 Aug 2008,98 min,"Animation, Action, Adventure",Dave Filoni,"Henry Gilroy, Steven Melching, Scott Murphy","Matt Lanter, Nika Futterman, Tom Kane","As the Clone Wars sweep the galaxy, Anakin Skywalker and his new Padawan, Ahsoka Tano, embark on a mission to rescue the kidnapped son of Jabba the Hutt. However, the renegade Count Dooku is determined to ensure that they fail.",English,"United States, Singapore, Australia, United Kingdom, Czech Republic",2 nominations total,https://m.media-amazon.com/images/M/MV5BYjExN2YwZmYtODlkNy00MTMzLWIwOTMtNDZlYWEzNjMxODBmXkEyXkFqcGc@._V1_SX300.jpg,35,6.0,"79,020",tt1185834,movie,N/A,"$35,161,554",N/A,N/A,True,6.0/10,18%,35/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Mirrors,2008,R,15 Aug 2008,110 min,"Horror, Mystery",Alexandre Aja,"Alexandre Aja, Grégory Levasseur, Sung-ho Kim","Kiefer Sutherland, Paula Patton, Amy Smart","Ben guards a partly-destroyed property by night but begins to see strange images in its impeccable mirrors. After his sister is killed, he is convinced that evil forces are out to get him.",English,"United States, Romania, Germany, France",2 nominations total,https://m.media-amazon.com/images/M/MV5BMTI2NTA1ODEyOF5BMl5BanBnXkFtZTcwNjc3MjY3MQ@@._V1_SX300.jpg,35,6.1,"117,306",tt0790686,movie,N/A,"$30,691,439",N/A,N/A,True,6.1/10,15%,35/100,,,,
Mirrors,1978,PG,01 Feb 1978,88 min,"Horror, Thriller",Noel Black,"Noel Black, Sidney L. Stebel","Kitty Winn, Peter Donat, William Swetland",A woman travels to New Orleans for her honeymoon. While there a witch doctor curses her. She begins to have terrible nightmares and begins to act strange even killing people. Her husband searches for another doctor to help her.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWY3MmNjZjAtZjc3Yy00OTIyLTgxZTEtMmRhOTU1MjkwOWRlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,N/A,4.4,166,tt0076365,movie,N/A,N/A,N/A,N/A,True,4.4/10,,,,,,
