Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Error,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
The Meg,2018,PG-13,10 Aug 2018,113 min,"Action, Horror, Sci-Fi",Jon Turteltaub,"Dean Georgaris, Jon Hoeber, Erich Hoeber","Jason Statham, Bingbing Li, Rainn Wilson",A rescue mission to the bottom of the ocean is terrorized by a massive prehistoric shark.,"English, Mandarin, Thai, Japanese","United States, China",5 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMWZjYjgxMzEtYTE1MS00M2RlLWJjOTUtZDA5ODM2YWQ4Y2FhXkEyXkFqcGc@._V1_SX300.jpg,46,5.7,"222,722",tt4779682,movie,N/A,"$145,522,784",N/A,N/A,True,5.7/10,,47%,46/100,,,,
Dog Days,2018,PG,08 Aug 2018,113 min,"Comedy, Drama, Romance",Ken Marino,"Elissa Matsueda, Erica Oyama","Nina Dobrev, Vanessa Hudgens, Adam Pally",A group of interconnected people in Los Angeles are brought together by their lovely canine counterparts.,English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BZmY5YjQyODYtNzczNS00NzQyLTk1N2EtYzg1OGE2YmNjYjNiXkEyXkFqcGc@._V1_SX300.jpg,47,6.2,"5,740",tt7365604,movie,N/A,"$6,809,080",N/A,N/A,True,6.2/10,,63%,47/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Dog Days,2013,Not Rated,26 Oct 2013,75 min,Documentary,"Laura Waters Hinson, Kasey Kirby",Laura Waters Hinson,N/A,"After losing his job in 2009, Coite Manuel sets off to build his dream business with the help of two unlikely women: Deane, his harp-playing aunt, and Siyone, an East African hotdog vendor and single mother of four. Staking his me...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTA3MjA0NzA2MDJeQTJeQWpwZ15BbWU4MDM0OTc4NDQx._V1_SX300.jpg,N/A,7.9,24,tt3548328,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,,
Dog Days,1925,N/A,08 Mar 1925,20 min,"Family, Comedy, Short",Robert F. McGowan,"Hal Roach, H.M. Walker","Joe Cobb, Jackie Condon, Mickey Daniels","The gang are showing off their dogs who panics a pony passing by, driven by Mary, causing it to run away. They rescued the pony and then Mary invites them over to her house for a party, much to the chagrin of her mother.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWY4M2Y2OGYtMTc3YS00NWJkLTg0MjMtOTgyM2I2ODg0OWM1XkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg,N/A,6.5,62,tt0235352,movie,N/A,N/A,N/A,N/A,True,6.5/10,,,,,,,
Dog Days,2016,N/A,08 Aug 2017,N/A,Drama,David Hutcherson,N/A,"Nicoli Davoli, Mitchel Efron, Elliott Efron",The Kid gets a new dog and adventure of travel with his dog and makes a gang of members in town and goes after bullies with the dog.,English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYWNlZjU5YWYtNTg3OS00MjI5LTk2OWMtNjc0NWEwNTVjYzFiXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt5329804,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Dog Days,2009,N/A,01 Jan 2009,N/A,"Short, Drama",Eyas Salman,"Eyas Salman, Tamer Salman","Saleh Bakri, Hanan Hillo, Tarik Kopty","A young man, who feels constrained living with his father takes drastic measures to liberate himself.",Arabic,Occupied Palestinian Territory,N/A,N/A,N/A,7.8,8,tt3685878,movie,N/A,N/A,N/A,N/A,True,7.8/10,,,,,,,
Dog Days,2001,N/A,24 Oct 2001,24 min,"Short, Sci-Fi",Ellie Lee,"Judy Budnitz, Ellie Lee","Sonya Genel, Will Lyman, Spencer Beglarian",N/A,English,United States,3 wins,https://m.media-amazon.com/images/M/MV5BOTc1ODFhZDgtZWRmMS00MjRkLTg0ZTItYzg2ZDZmZjVmNGFhXkEyXkFqcGdeQXVyMTg1MjM0NQ@@._V1_SX300.jpg,N/A,6.6,80,tt0212921,movie,N/A,N/A,N/A,N/A,True,6.6/10,,49%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Dog Days,2020,N/A,N/A,10 min,Short,Simin Zeng,"Marin Kawamori, Simin Zeng","Roshni Ahira, Simona Cosimi","Sets in London, this short film portrays a relationship between a 14-year-old girl Mia, and her Italian mother, Ann. Being on the edge of divorce, Ann is puzzling over whether to leave the ...",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMjhlMjRhNWItYzE1Zi00MGIxLWIyYTctY2JmNGRjYzY3ZjdiXkEyXkFqcGdeQXVyMTE0MDc3ODY5._V1_SX300.jpg,N/A,N/A,N/A,tt11858152,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Dog Days,2020,N/A,12 Dec 2020,3 min,"Animation, Short, Comedy",Stephanie Chan,Stephanie Chan,N/A,A playful yet naughty dog tries to get his human's attention any way he possibly can.,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjI4MWZmOWMtMjU1NC00M2Y5LTkyZjEtNGRkOTc2ZmNhY2U5XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,N/A,N/A,N/A,tt31790155,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Dog Days,2023,N/A,21 Apr 2023,3 min,"Animation, Short, Comedy",Hailey Bair,N/A,Andrew Wagner,A young boy is surprised when his birthday wish for a puppy brings a magical balloon dog to life instead.,English,United States,N/A,N/A,N/A,N/A,N/A,tt28499096,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
The Darkest Minds,2018,PG-13,03 Aug 2018,104 min,"Action, Adventure, Drama",Jennifer Yuh Nelson,"Chad Hodge, Alexandra Bracken","Amandla Stenberg, Mandy Moore, Bradley Whitford","After a disease kills 98% of children, the survivors develop powers and are declared a threat. 16-year-old Ruby, escapes the government facility and joins a group of rebel teenagers ready to fight the government forces out to get ...",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNGY2N2FjZTctNmRlYS00ZmY2LWI3Y2MtZTJmZWYzZDQzZjYwXkEyXkFqcGc@._V1_SX300.jpg,39,5.7,"39,140",tt4073790,movie,N/A,"$12,695,691",N/A,N/A,True,5.7/10,,15%,39/100,,,,
Death of a Nation,2018,PG-13,03 Aug 2018,108 min,"Documentary, History","Dinesh D'Souza, Bruce Schooley","Dinesh D'Souza, Bruce Schooley","Dinesh D'Souza, Victoria Chilap, Pavel Kríz",This docudrama draws parallels between the dramatic fracturing of the nation over Abraham Lincoln's presidency and the presidency of Donald Trump.,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMGQ3NWI3ZTctMjA1YS00MTNjLWE5MDctODk2MGM5NmYyYzkyXkEyXkFqcGc@._V1_SX300.jpg,1,4.1,"7,384",tt8564902,movie,N/A,"$5,885,881",N/A,N/A,True,4.1/10,,0%,1/100,,,,
The Spy Who Dumped Me,2018,R,03 Aug 2018,117 min,"Action, Adventure, Comedy",Susanna Fogel,"Susanna Fogel, David Iserson","Justin Theroux, Kate McKinnon, Blanka Györfi-Tóth",Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when one of them discovers that the boyfriend who dumped her was actually a spy.,"English, Russian, French, Lithuanian, German","United States, Canada, Germany, Hungary, Netherlands",3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNDY1MTA0NjgyN15BMl5BanBnXkFtZTgwMTEzNDQ4NTM@._V1_SX300.jpg,52,6.1,"85,958",tt6663582,movie,N/A,"$33,562,069",N/A,N/A,True,6.1/10,,49%,52/100,,,,
Unfriended: Dark Web,2018,R,20 Jul 2018,92 min,"Horror, Mystery, Thriller",Stephen Susco,Stephen Susco,"Colin Woodell, Stephanie Nogueras, Betty Gabriel",A teen comes into possession of a new laptop and soon discovers that the previous owner is not only watching him but will also do anything to get it back.,"English, American Sign , Indonesian","United States, Russia",N/A,https://m.media-amazon.com/images/M/MV5BNmYxNGZjY2ItOTg5YS00NzM0LWIxZjktMDFmOWM1MGZhOTNkXkEyXkFqcGc@._V1_SX300.jpg,53,6.0,"41,894",tt4761916,movie,N/A,"$8,866,745",N/A,N/A,True,6.0/10,,60%,53/100,,,,
The Equalizer 2,2018,R,20 Jul 2018,121 min,"Action, Crime, Mystery",Antoine Fuqua,"Richard Wenk, Michael Sloan, Richard Lindheim","Denzel Washington, Pedro Pascal, Ashton Sanders","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?","English, French, Turkish, Hebrew, Arabic, Spanish",United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTU2OTYzODQyMF5BMl5BanBnXkFtZTgwNjU3Njk5NTM@._V1_SX300.jpg,50,6.7,"222,125",tt3766354,movie,N/A,"$102,084,362",N/A,N/A,True,6.7/10,,52%,50/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Far from the Tree,2021,G,24 Nov 2021,7 min,"Animation, Short, Adventure",Natalie Nourigat,Natalie Nourigat,N/A,Curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.,None,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BYTZlYjE0ODAtMGUwMy00N2EyLWFjZDUtODIzNDdmNWQ4ZWMyXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.5,"5,759",tt14927356,movie,N/A,N/A,N/A,N/A,True,7.5/10,,,,,,,
Far From the Tree,2017,Unrated,20 Jul 2018,93 min,Documentary,"Rachel Dretzin, Jamila Ephron",N/A,"Amy Allnutt, Jack Allnutt, Harry Burdick","Based on the NY Times bestselling book by Andrew Solomon, Far from the Tree examines the experiences of families in which parents and children are profoundly different from one another in a variety of ways.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDg5N2NiNDktOWMzZC00YjhlLThmNDQtZGI2MGFjNzA4MmVjXkEyXkFqcGc@._V1_SX300.jpg,70,7.7,646,tt6848736,movie,N/A,"$166,018",N/A,N/A,True,7.7/10,,90%,70/100,,,,
Far from the Tree,2017,N/A,01 Sep 2017,17 min,"Short, Drama",Dave Thomas,"David B. Kear, Dave Thomas","Cheryl Allison, Gabriel Rush, Angie Bolling","Far From the Tree is the story of a strained relationship between a mother and her teenaged son, as she struggles to come to terms with a sexual assault from her past and how she ultimately finds the courage to confront it.",English,United States,26 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BOTY4MGRkMjktZjczYi00NzMwLWE2NzktYTFjNWJkNzcxOWUyXkEyXkFqcGc@._V1_SX300.jpg,N/A,9.2,14,tt6022842,movie,N/A,N/A,N/A,N/A,True,9.2/10,,90%,,,,,
Blindspotting,2018,R,27 Jul 2018,95 min,"Comedy, Crime, Drama",Carlos López Estrada,"Rafael Casal, Daveed Diggs","Daveed Diggs, Rafael Casal, Janina Gavankar","While on probation, a man begins to re-evaluate his relationship with his volatile best friend.",English,United States,5 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BODc5ZmRjNzItODhjYS00NTJjLTg1YWYtNjBmMzY0YThhYjljXkEyXkFqcGc@._V1_SX300.jpg,75,7.4,"33,785",tt7242142,movie,N/A,"$4,333,394",N/A,N/A,True,7.4/10,,94%,75/100,,,,
Running for Grace,2018,TV-14,17 Aug 2018,110 min,"Family, Romance",David L. Cunningham,"David L. Cunningham, Christian Parkes, Nicole Sacker","Jim Caviezel, Matt Dillon, Juliet Mills",A timeless tale that takes place against the backdrop of the segregated coffee fields in 1920s Hawaii - a coming-of-age journey about a young man who transcends the boundaries of race and class in pursuit of a forbidden love.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZThhZjRhMmMtOTA3Yy00YmMxLThmNDAtZTI0NzE3ODc2MGJhXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,"1,909",tt5696326,movie,N/A,"$89,988",N/A,N/A,True,6.1/10,,,,,,,
Skyscraper,1996,R,24 Jul 1996,96 min,"Action, Thriller",Raymond Martino,"William Applegate Jr. (screenplay), Joseph John Barmettler (screenplay)","Anna Nicole Smith, Richard Steinmetz, Branimir Cikatiæ, Calvin Levels",A helicopter charter soon turns deadly when the female pilot finds that she is on a building held by terrorists. It is up to her and her husband to save the hostages.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWUyYmIzMjYtNDFiNy00OTBiLTk2NjUtYThkZWFlYWI1OTkyL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,2.9,"2,336",tt0114467,movie,N/A,N/A,N/A,N/A,True,2.9/10,,,,,,,
Skyscraper,1928,N/A,08 Apr 1928,68 min,Drama,Howard Higgin,"Elliott J. Clawson, Tay Garnett, John W. Krafft","William Boyd, Alan Hale, Sue Carol","A man pretends to be interested in his fellow steel worker's sweetheart, in order to help the man recover his spirit and come out of depression.","None, English",United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDM2NDk0NDctOTRmMi00N2FiLWI3ZWUtNGVlNTA5NDczOGEzXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg,N/A,5.8,135,tt0019398,movie,N/A,N/A,N/A,N/A,True,5.8/10,,,,,,,
Skyscraper,1959,N/A,26 Apr 1960,20 min,"Documentary, Short","Shirley Clarke, Wheaton Galentine, Irving Jacoby",N/A,N/A,"A documentary short subject about the construction of a new skyscraper in late 1950s Manhattan, the Tishman building on prestigious Fifth Avenue.",English,United States,Nominated for 1 Oscar. 1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNWZmNWVjZWEtMjYxOS00NTJmLWJiNjItMTE5Y2UyM2Q4NzM5XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.2,267,tt0053282,movie,N/A,N/A,N/A,N/A,True,7.2/10,,,,,,,
Skyscraper,2018,PG-13,13 Jul 2018,102 min,"Action, Adventure, Thriller",Rawson Marshall Thurber,Rawson Marshall Thurber,"Dwayne Johnson, Neve Campbell, Chin Han","A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.","English, Cantonese, Mandarin",United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BNWYyYTExNWMtZGYyYy00YTEzLTg5MzEtY2YyMDI3MDNlMjcwXkEyXkFqcGc@._V1_SX300.jpg,51,5.8,"142,930",tt5758778,movie,N/A,"$68,420,120",N/A,N/A,True,5.8/10,,48%,51/100,,,,
Eighth Grade,2018,R,03 Aug 2018,93 min,"Comedy, Drama",Bo Burnham,Bo Burnham,"Elsie Fisher, Josh Hamilton, Emily Robinson",An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,English,United States,60 wins & 91 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyYzNiZTQtZGEwYi00ZjdiLTk5ZjctYTAxZTY3YmY0OThlXkEyXkFqcGc@._V1_SX300.jpg,85,7.3,"85,744",tt7014006,movie,N/A,"$13,539,709",N/A,N/A,True,7.3/10,,99%,85/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Whitney,2018,R,05 Jul 2018,120 min,"Documentary, Biography, Drama",Kevin Macdonald,Kevin Macdonald,"Whitney Houston, Ellen White, Michael Houston",An in-depth look at the life and music of Whitney Houston.,English,"United Kingdom, United States",1 win & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNDNkMmM2Y2MtZTQ2ZS00YzM2LWE2Y2QtNDFjMDhhNjg4NDI0XkEyXkFqcGc@._V1_SX300.jpg,75,7.3,"8,205",tt5740866,movie,N/A,"$3,026,351",N/A,N/A,True,7.3/10,,88%,75/100,,,,
Whitney,2015,TV-14,17 Jan 2015,88 min,"Biography, Drama",Angela Bassett,Shem Bitterman,"Yaya DaCosta, Arlen Escarpeta, Yolonda Ross",A chronicle of Whitney Houston's rise to fame and turbulent relationship with husband Bobby Brown.,English,United States,1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ5MTc0MzU0Nl5BMl5BanBnXkFtZTgwNTc2NzY4MzE@._V1_SX300.jpg,N/A,5.0,"2,118",tt3750942,movie,N/A,N/A,N/A,N/A,True,5.0/10,,47%,,,,,
The First Purge,2018,R,04 Jul 2018,97 min,"Action, Horror, Sci-Fi",Gerard McMurray,James DeMonaco,"Y'lan Noel, Lex Scott Davis, Joivan Wade","America's third political party, the New Founding Fathers of America, comes to power and conducts an experiment: no laws for 12 hours on Staten Island. No one has to stay on the island, but $5,000 is given to anyone who does.","English, French, Spanish, Russian","Japan, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BZjZmMDY4MzItYzVhOC00YmQ5LWFjMDgtYzk5ZDY1ZTFmN2ZjXkEyXkFqcGc@._V1_SX300.jpg,54,5.2,"76,076",tt6133466,movie,N/A,"$69,488,745",N/A,N/A,True,5.2/10,,55%,54/100,,,,
Fireworks,2017,N/A,02 Mar 2017,8 min,"Short, Biography, Drama",Arom Choi,Arom Choi,"Tyree Marshall, Nicolas Savignano","A woman and a man, living in a trailer, are sitting at each side of their dinner table. The woman is glaring at the man, but the man seems completely remote. The woman runs out of their trailer and starts to wander around the forest.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjZlMmVjMDQtODQ3Yi00M2U4LThiMmUtY2FkNTBlZGE5ZjEyXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt7015088,movie,07 Nov 2018,N/A,N/A,N/A,True,,,45%,,,,,
Fireworks,2012,N/A,01 Apr 2012,11 min,"Short, Drama",Victor Hugo Duran,Kevin James McMullin,"Azucena Benitez, Alberto Castaneda, Roger Cruz",N/A,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZGYwNThiNTYtYmI1OC00YzdjLTkzMTQtYjU4NDQwMDYzZWI4XkEyXkFqcGdeQXVyNTg0NTM3MzA@._V1_SX300.jpg,N/A,7.3,11,tt2308681,movie,N/A,N/A,N/A,N/A,True,7.3/10,,,,,,,
Fireworks,1947,N/A,10 Oct 1969,20 min,"Short, Drama, Horror",Kenneth Anger,Kenneth Anger,"Kenneth Anger, Gordon Gray, Bill Seltzer","A dissatisfied dreamer awakes, goes out in the night seeking a 'light' and is drawn through the needle's eye. A dream of a dream, he returns to bed less empty than before.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjk4ODY2Mjk0NV5BMl5BanBnXkFtZTYwOTUwODc5._V1_SX300.jpg,N/A,7.0,"2,984",tt0039383,movie,N/A,N/A,N/A,N/A,True,7.0/10,,,,,,,
Fireworks,1976,N/A,N/A,3 min,Short,Jenny Okun,N/A,N/A,N/A,None,United Kingdom,N/A,N/A,N/A,N/A,N/A,tt7854692,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Fireworks,2022,N/A,19 Jun 2022,N/A,Short,Paul J. Franklin,Steven Lally,"Elysse Adil, Hammed Animashaun, Raghad Chaar",Set in an MI6 Ops Room and uses cutting-edge Virtual Production technology to tell its story.,English,United Kingdom,1 win,https://m.media-amazon.com/images/M/MV5BMzIyNDk4MDQtOWIxMS00MjA4LTkwNTMtOTdjYzAwZjI5MGRjXkEyXkFqcGdeQXVyNjYyOTEyMjc@._V1_SX300.jpg,N/A,N/A,11,tt14091518,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Fireworks,2020,N/A,01 Mar 2020,6 min,"Short, Drama",Tim Searfoss,"Matt Christopher Jones, Tim Searfoss","Jon Paul Allyn, Marc Leggett, Amanda Manez","As Hannah stalks her husband and his mistress, Hannah has a choice to make: will she take revenge, or forgive and let go?",English,United States,2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BOWMzZWYwNGQtNGJkNC00ZTNiLWFlZGYtMDEwMTdiMzA0ODUyXkEyXkFqcGdeQXVyODE5MjE2ODM@._V1_SX300.jpg,N/A,N/A,N/A,tt12643894,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Woman Walks Ahead,2017,R,29 Jun 2018,101 min,"Biography, Drama, History",Susanna White,Steven Knight,"Jessica Chastain, Louisa Krause, Boots Southerland","Catherine Weldon, a portrait painter from 1890s Brooklyn, travels to Dakota to paint a portrait of Sitting Bull and becomes embroiled in the Lakota peoples' struggle over the rights to their land.","English, Sioux","United States, United Kingdom",7 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZGIwZjgzM2UtMWNlYi00Yjc5LWEwMzgtMTJlZTE0NTUzOTE5XkEyXkFqcGc@._V1_SX300.jpg,51,6.7,"9,064",tt5436228,movie,N/A,"$57,528",N/A,N/A,True,6.7/10,,59%,51/100,,,,
Custody,2007,TV-14,08 Sep 2007,90 min,Drama,Nadia Tass,"Mary Herczog, Kathy Kloves","Rob Morrow, Kay Panabaker, James Denton","A wealthy entrepreneur enters his daughter's life for the first time and wows with riches, forcing her to decide if she would rather live with her foster parents or him.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWJiZmFkMjAtYTVhNC00NjBkLTllN2UtMWMxNzBkNjcxMzA4XkEyXkFqcGdeQXVyMzkxMjQ0Mjc@._V1_SX300.jpg,N/A,5.8,396,tt1038905,movie,N/A,N/A,N/A,N/A,True,5.8/10,,,,,,,
Uncle Drew,2018,PG-13,29 Jun 2018,103 min,"Comedy, Drama, Sport",Charles Stone III,Jay Longino,"Kyrie Irving, Lil Rel Howery, Shaquille O'Neal",An anti-ageist comedy about a man's dream to win the Rucker Classic street ball tournament in Harlem.,English,United States,3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTU2MzE0NzQ1Ml5BMl5BanBnXkFtZTgwNzIyNzczNTM@._V1_SX300.jpg,57,5.8,"16,526",tt7334528,movie,N/A,"$42,469,946",N/A,N/A,True,5.8/10,,62%,57/100,,,,
Custody,1988,N/A,18 May 1988,92 min,Drama,Ian Munro,"Ann Charlton, Anna Grieve","Judith Stratford, Peter Browne, Michael Cudlin",Drama telling the story of two years in the life of the Byrne family as they prepare for a custody hearing.,English,Australia,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZWU2ZjJmZmUtYThhNC00YTdmLWE2ZmQtNmMyY2YyNzcxYzYxXkEyXkFqcGdeQXVyMTIzMjkyMzM3._V1_SX300.jpg,N/A,8.8,9,tt0092810,movie,N/A,N/A,N/A,N/A,True,8.8/10,,,,,,,
Custody,2005,N/A,N/A,1 h 30 min,Comedy,"Eric Stuyvesant, Scott Wachtel",Eric Stuyvesant,"Marisa Zakaria, Eric Stuyvesant, Kristian Stuyvesant, Phillip Stuyvesant",N/A,N/A,N/A,N/A,N/A,N/A,6.9,18,tt0759956,movie,N/A,N/A,N/A,N/A,True,6.9/10,,,,,,,
Sicario: Day of the Soldado,2018,R,29 Jun 2018,122 min,"Action, Crime, Drama",Stefano Sollima,Taylor Sheridan,"Benicio Del Toro, Josh Brolin, Isabela Merced","The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.","English, Spanish, American Sign , Arabic, Somali, Spanish Sign ",United States,1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTEzNjM2NTYxMjReQTJeQWpwZ15BbWU4MDU2NzAxNTUz._V1_SX300.jpg,61,7.1,"183,382",tt5052474,movie,N/A,"$50,072,235",N/A,N/A,True,7.1/10,,62%,61/100,,,,
Three Identical Strangers,2018,PG-13,30 Nov 2018,96 min,"Documentary, Biography, Drama",Tim Wardle,"Grace Hughes-Hallett, Tim Wardle","Robert Shafran, Michael Domnitz, Howard Schneider","In 1980 New York, three young men who were all adopted meet each other and find out they're triplets who were separated at birth. But their quest to find out why turns into a bizarre and sinister mystery.",English,"United Kingdom, United States",Nominated for 3 Primetime Emmys. 12 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BMTcxYWE2YmItNzdiNi00OWQ3LThiNDctOTBjYjgwNWNlZGRiXkEyXkFqcGc@._V1_SX300.jpg,81,7.6,"43,250",tt7664504,movie,N/A,"$12,320,845",N/A,N/A,True,7.6/10,,96%,81/100,,,,
Custody,2016,TV-14,19 Feb 2017,104 min,Drama,James Lapine,James Lapine,"Viola Davis, Hayden Panettiere, Catalina Sandino Moreno",The lives of three women are unexpectedly changed when they cross paths at a New York Family Court.,English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BN2IwNjVjZTYtMTVjNi00YzYyLThjMzctNzI1MjJjM2NlMmJhXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.4,"1,280",tt4575930,movie,N/A,N/A,N/A,N/A,True,6.4/10,,60%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Calling All Earthlings,2018,N/A,01 Aug 2018,74 min,"Documentary, History, Sci-Fi",Jonathan Berman,N/A,"George Van Tassel, Nancy Karl, Daniel Boone","UFO contact, the government, and a time machine all meet up at the Integratron, a Joshua Tree desert mystery dome inspired by Tesla, free energy, conspiracy, and alien help.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZGFmOWQ2YTEtMjE3Yi00Y2JlLWE4MzctYTQxN2FiYzE3ZDc0XkEyXkFqcGdeQXVyMDMyMTA1OQ@@._V1_SX300.jpg,55,6.7,74,tt2179171,movie,N/A,"$6,756",N/A,N/A,True,6.7/10,,63%,55/100,,,,
The Catcher Was a Spy,2018,R,22 Jun 2018,94 min,"Biography, Drama, War",Ben Lewin,"Robert Rodat, Nicholas Dawidoff","Paul Rudd, Pierfrancesco Favino, Tom Wilkinson",Former Major League Baseball player Moe Berg goes undercover in World War II Europe for the Office of Strategic Services.,"English, German, Italian, Japanese, French, Hebrew",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BNDdlZGE2YmUtNWFmOC00N2ExLWI1MTctOTFjNWI3ZWZiODA4XkEyXkFqcGc@._V1_SX300.jpg,49,6.3,"13,328",tt4602066,movie,N/A,"$725,223",N/A,N/A,True,6.3/10,,32%,49/100,,,,
Tag,2016,N/A,31 Jul 2016,76 min,Animation,Mike Fallek,N/A,"Julia Anrather, Topher Froehlich, Bruce Jones",A world where Tag is the most popular professional sport. Come enjoy a day of sports from the tournament itself to the young practicing players to the fans. A day in the life of Tag and the world it lives in told through Mike Fall...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjExZGYzNGQtMTAzYS00MmYxLWFjNDAtNWI1YjE4NWY5NzBlXkEyXkFqcGdeQXVyMjI0ODA3MTQ@._V1_SX300.jpg,N/A,N/A,N/A,tt5908018,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Gotti,1996,R,17 Aug 1996,117 min,"Biography, Crime, Drama",Robert Harmon,"Jerry Capeci, Gene Mustain, Steve Shagan","Armand Assante, Anthony Quinn, William Forsythe",John Gotti rises to head the powerful Gambino crime family before being convicted in 1992 of racketeering and murder.,English,"Canada, United States",Won 1 Primetime Emmy. 3 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BZjY0YjA2N2QtNzlmYy00ZDRjLWEzNTQtYzVmMzY0ZDM0ZTNlXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.2,"9,194",tt0116441,movie,N/A,N/A,N/A,N/A,True,7.2/10,,60%,,,,,
